No.,Source,Destination,Protocol,Length,Protocol_num,Packet_Count,Result
1,2607:f8b0:4002:c10::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,222,12,704,Anomaly
2,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::5f,UDP,95,12,6701,Normal
3,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
4,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
5,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
6,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
7,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
8,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
9,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,999,12,6701,Anomaly
10,2a06:98c1:3100::6812:202f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,85,12,95,Normal
11,2a06:98c1:3100::6812:202f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,85,12,95,Normal
12,2a06:98c1:3100::6812:202f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,86,12,95,Normal
13,2a06:98c1:3100::6812:202f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,782,12,95,Anomaly
14,2a06:98c1:3100::6812:202f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,790,12,95,Anomaly
15,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,105,12,6701,Normal
16,2a06:98c1:3108::ac40:94eb,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.2,110,10,249,Normal
17,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3108::ac40:94eb,TCP,86,9,6701,Normal
18,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3108::ac40:94eb,TLSv1.2,114,10,6701,Normal
19,2a06:98c1:3108::ac40:94eb,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,9,249,Normal
20,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
21,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
22,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
23,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
24,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
25,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
26,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
27,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
28,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
29,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
30,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
31,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
32,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
33,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
34,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,1292,12,6701,Anomaly
