No.,Source,Destination,Protocol,Length
2,2607:f8b0:4002:c0c::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,142
3,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0c::5f,UDP,95
15,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::2,DNS,95
16,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::2,DNS,95
17,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::2,DNS,95
22,2607:f8b0:4002:c0c::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,222
27,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0c::5f,UDP,95
28,2001:558:feed::2,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,207
29,2001:558:feed::2,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,136
30,2001:558:feed::2,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,148
40,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,1292
41,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,1292
42,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,1292
43,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,137
46,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,770
47,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102
48,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102
49,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292
50,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292
51,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292
52,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,338
53,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1006
54,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,140
55,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,93
56,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,90
57,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,557
58,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,97
59,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,182
60,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,431
61,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,85
62,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,89
