No.,Source,Destination,Protocol,Length,Protocol_num,Packet_Count,Result
2,2607:f8b0:4002:c0c::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,142,5,42,Anomaly
3,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0c::5f,UDP,95,5,3796,Normal
15,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::2,DNS,95,0,3796,Anomaly
16,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::2,DNS,95,0,3796,Anomaly
17,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::2,DNS,95,0,3796,Anomaly
22,2607:f8b0:4002:c0c::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,222,5,42,Anomaly
27,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0c::5f,UDP,95,5,3796,Normal
28,2001:558:feed::2,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,207,0,39,Anomaly
29,2001:558:feed::2,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,136,0,39,Anomaly
30,2001:558:feed::2,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,148,0,39,Anomaly
40,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,1292,4,3796,Normal
41,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,1292,4,3796,Normal
42,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,1292,4,3796,Normal
43,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,137,4,3796,Normal
46,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,770,4,3796,Anomaly
47,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102,4,29,Normal
48,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102,4,29,Normal
49,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,29,Normal
50,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,29,Normal
51,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,29,Normal
52,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,338,4,29,Normal
53,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1006,4,29,Normal
54,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,140,4,3796,Normal
55,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,93,4,3796,Normal
56,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,90,4,29,Normal
57,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,557,4,29,Normal
58,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,97,4,3796,Normal
59,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,182,4,29,Normal
60,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,431,4,3796,Anomaly
61,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,85,4,29,Normal
62,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,89,4,29,Normal
63,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,148,4,29,Normal
64,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,97,4,3796,Normal
66,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c05::5e,QUIC,92,4,3796,Normal
67,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,86,4,29,Normal
68,2607:f8b0:4002:c05::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,87,4,29,Normal
89,2607:f8b0:4002:c0c::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,142,5,42,Anomaly
90,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0c::5f,UDP,95,5,3796,Normal
114,2607:f8b0:4002:c0c::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,142,5,42,Anomaly
115,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0c::5f,UDP,95,5,3796,Normal
120,192.168.46.2,224.0.0.251,MDNS,98,2,783,Anomaly
121,fe80::1867:809a:daeb:dc0,ff02::fb,MDNS,118,2,10,Anomaly
122,192.168.46.2,224.0.0.251,MDNS,98,2,783,Anomaly
123,fe80::1867:809a:daeb:dc0,ff02::fb,MDNS,118,2,10,Anomaly
124,192.168.46.2,224.0.0.251,MDNS,98,2,783,Anomaly
125,fe80::1867:809a:daeb:dc0,ff02::fb,MDNS,118,2,10,Anomaly
127,2607:f8b0:4002:c0c::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,222,5,42,Anomaly
128,2607:f8b0:4002:c0c::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,86,5,42,Normal
129,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0c::5f,UDP,95,5,3796,Normal
147,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5f,QUIC,1292,4,3796,Normal
148,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5f,QUIC,1292,4,3796,Normal
149,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5f,QUIC,1292,4,3796,Normal
150,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5f,QUIC,140,4,3796,Normal
151,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5f,QUIC,616,4,3796,Anomaly
152,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102,4,14,Normal
153,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102,4,14,Normal
154,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,14,Normal
155,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,14,Normal
156,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,14,Normal
157,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,352,4,14,Normal
158,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1002,4,14,Anomaly
159,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,121,4,14,Normal
160,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,86,4,14,Normal
161,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5f,QUIC,140,4,3796,Normal
162,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5f,QUIC,93,4,3796,Normal
163,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,100,4,14,Normal
164,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,83,4,14,Normal
165,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5f,QUIC,93,4,3796,Normal
166,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,182,4,14,Normal
167,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,245,4,14,Normal
168,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5f,QUIC,93,4,3796,Normal
169,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0c::5f,UDP,602,5,3796,Anomaly
170,2607:f8b0:4002:c0c::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,92,5,42,Normal
171,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0c::5f,UDP,95,5,3796,Normal
172,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5f,QUIC,98,4,3796,Normal
173,2607:f8b0:4002:c0c::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,156,5,42,Anomaly
174,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0c::5f,UDP,99,5,3796,Normal
176,2607:f8b0:4002:c09::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,85,4,14,Normal
177,2607:f8b0:4002:c0c::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,88,5,42,Normal
178,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::1,DNS,95,0,3796,Anomaly
179,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::1,DNS,95,0,3796,Anomaly
180,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::1,DNS,95,0,3796,Anomaly
185,2001:558:feed::1,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,148,0,25,Anomaly
186,2001:558:feed::1,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,207,0,25,Anomaly
187,2001:558:feed::1,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,136,0,25,Anomaly
200,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c2c::5e,QUIC,1292,4,3796,Normal
201,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c2c::5e,QUIC,1292,4,3796,Normal
205,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102,4,14,Normal
206,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,14,Normal
207,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,14,Normal
208,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,14,Normal
209,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,14,Normal
210,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,14,Normal
211,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,183,4,14,Normal
212,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c2c::5e,QUIC,1292,4,3796,Normal
213,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c2c::5e,QUIC,102,4,3796,Normal
214,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c2c::5e,QUIC,102,4,3796,Normal
215,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c2c::5e,QUIC,145,4,3796,Normal
216,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c2c::5e,QUIC,129,4,3796,Normal
217,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c2c::5e,QUIC,466,4,3796,Anomaly
218,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1034,4,14,Anomaly
219,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,183,4,14,Normal
220,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c2c::5e,QUIC,93,4,3796,Normal
221,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,89,4,14,Normal
222,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1288,4,14,Normal
223,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1270,4,14,Normal
224,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,84,4,14,Normal
225,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c2c::5e,QUIC,97,4,3796,Normal
226,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c2c::5e,QUIC,93,4,3796,Normal
264,2607:f8b0:4002:c2c::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,86,4,14,Normal
276,192.168.46.2,224.0.0.251,MDNS,98,2,783,Anomaly
277,fe80::1867:809a:daeb:dc0,ff02::fb,MDNS,118,2,10,Anomaly
278,2607:f8b0:4002:c0c::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,142,5,42,Anomaly
279,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0c::5f,UDP,95,5,3796,Normal
307,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::9a,QUIC,1292,4,3796,Normal
308,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::9a,QUIC,1292,4,3796,Normal
310,2607:f8b0:4002:c10::9a,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102,4,118,Normal
311,2607:f8b0:4002:c10::9a,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,118,Normal
312,2607:f8b0:4002:c10::9a,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,118,Normal
313,2607:f8b0:4002:c10::9a,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,118,Normal
314,2607:f8b0:4002:c10::9a,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,118,Normal
315,2607:f8b0:4002:c10::9a,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1257,4,118,Normal
316,2607:f8b0:4002:c10::9a,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,129,4,118,Normal
317,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::9a,QUIC,1292,4,3796,Normal
318,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::9a,QUIC,102,4,3796,Normal
319,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::9a,QUIC,145,4,3796,Normal
320,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::9a,QUIC,135,4,3796,Normal
321,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::9a,QUIC,803,4,3796,Anomaly
322,2607:f8b0:4002:c10::9a,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1030,4,118,Anomaly
323,2607:f8b0:4002:c10::9a,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,183,4,118,Normal
324,2607:f8b0:4002:c10::9a,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,89,4,118,Normal
325,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::9a,QUIC,94,4,3796,Normal
326,2607:f8b0:4002:c10::9a,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,728,4,118,Anomaly
327,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::9a,QUIC,97,4,3796,Normal
329,2607:f8b0:4002:c10::9a,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,86,4,118,Normal
330,2607:f8b0:4002:c0c::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,142,5,42,Anomaly
331,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0c::5f,UDP,95,5,3796,Normal
332,192.168.46.2,224.0.0.251,MDNS,117,2,783,Anomaly
333,fe80::1867:809a:daeb:dc0,ff02::fb,MDNS,137,2,10,Anomaly
366,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:4860:4802:36::223,QUIC,1292,4,3796,Normal
367,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:4860:4802:36::223,QUIC,1292,4,3796,Normal
378,2001:4860:4802:36::223,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102,4,67,Normal
379,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,1292,4,3796,Normal
380,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,1292,4,3796,Normal
382,2001:4860:4802:36::223,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,67,Normal
383,2001:4860:4802:36::223,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,67,Normal
384,2001:4860:4802:36::223,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,67,Normal
385,2001:4860:4802:36::223,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,67,Normal
386,2001:4860:4802:36::223,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,67,Normal
387,2001:4860:4802:36::223,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,185,4,67,Normal
388,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:4860:4802:36::223,QUIC,1292,4,3796,Normal
389,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:4860:4802:36::223,QUIC,101,4,3796,Normal
390,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:4860:4802:36::223,QUIC,102,4,3796,Normal
391,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:4860:4802:36::223,QUIC,145,4,3796,Normal
392,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:4860:4802:36::223,QUIC,133,4,3796,Normal
393,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:4860:4802:36::223,QUIC,662,4,3796,Anomaly
396,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102,4,3247,Normal
399,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,3247,Normal
400,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,3247,Normal
401,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,3247,Normal
402,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,3247,Normal
403,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,3247,Normal
404,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,866,4,3247,Anomaly
405,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,1292,4,3796,Normal
406,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,101,4,3796,Normal
407,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,102,4,3796,Normal
408,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,145,4,3796,Normal
409,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,136,4,3796,Normal
410,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,1292,4,3796,Normal
411,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,1292,4,3796,Normal
412,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,246,4,3796,Normal
413,2001:4860:4802:36::223,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1046,4,67,Anomaly
414,2001:4860:4802:36::223,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,183,4,67,Normal
415,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:4860:4802:36::223,QUIC,94,4,3796,Normal
416,2001:4860:4802:36::223,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,89,4,67,Normal
424,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1007,4,3247,Anomaly
425,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,183,4,3247,Anomaly
426,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,93,4,3796,Normal
427,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,85,4,3247,Anomaly
428,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,85,4,3247,Anomaly
434,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:4860:4802:36::223,QUIC,94,4,3796,Normal
444,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,94,4,3796,Normal
463,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1288,4,3247,Normal
464,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,3247,Normal
465,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,3247,Normal
466,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,117,4,3247,Anomaly
467,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1288,4,3247,Normal
468,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,93,4,3796,Normal
469,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,93,4,3796,Normal
470,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,3247,Normal
471,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1221,4,3247,Anomaly
472,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,97,4,3796,Normal
473,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1287,4,3247,Normal
474,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,3247,Normal
475,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c11::5d,QUIC,93,4,3796,Normal
476,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,3247,Normal
477,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,3247,Normal
478,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,3247,Normal
479,2607:f8b0:4002:c11::5d,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,3247,Normal
