No.,Time,Source,Destination,Protocol,Length,Info,Protocol_num,Packet_Count,Result
1,0.0,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::105,TCP,74,53229  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0,6,445,Normal
2,0.017282,2001:558:feed:443::105,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,[TCP ACKed unseen segment] 443  >  53229 [ACK] Seq=1 Ack=2 Win=20706 Len=0 TSval=3001049816 TSecr=3816514558,6,16,Normal
3,0.158913,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::1,DNS,95,Standard query 0xd111 HTTPS doh.xfinity.com,2,445,Anomaly
4,0.159223,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::1,DNS,95,Standard query 0x6f02 AAAA doh.xfinity.com,2,445,Anomaly
5,0.159536,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::1,DNS,95,Standard query 0x85cf A doh.xfinity.com,2,445,Anomaly
6,0.160326,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::105,TLSv1.2,283,"[TCP Previous segment not captured] , Application Data",7,445,Normal
7,0.160397,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::105,TLSv1.2,132,Application Data,7,445,Normal
8,0.160461,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::105,TLSv1.2,283,Application Data,7,445,Normal
9,0.160519,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::105,TLSv1.2,283,Application Data,7,445,Normal
10,0.171959,2001:558:feed::1,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,207,Standard query response 0xd111 HTTPS doh.xfinity.com CNAME doh2.gslb2.xfinity.com SOA gtd02-d.northlake.il.ndcchgo.comcast.net,2,13,Anomaly
11,0.172629,2001:558:feed::1,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,136,Standard query response 0x85cf A doh.xfinity.com CNAME doh2.gslb2.xfinity.com A 75.75.77.106,2,13,Anomaly
12,0.17263,2001:558:feed:443::105,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,443  >  53229 [ACK] Seq=1 Ack=199 Win=21420 Len=0 TSval=3001049855 TSecr=3817281591,6,16,Normal
13,0.172631,2001:558:feed::1,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,148,Standard query response 0x6f02 AAAA doh.xfinity.com CNAME doh2.gslb2.xfinity.com AAAA 2001:558:feed:443::105,2,13,Anomaly
14,0.174212,2001:558:feed:443::105,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,443  >  53229 [ACK] Seq=1 Ack=442 Win=24990 Len=0 TSval=3001049855 TSecr=3817281591,6,16,Normal
15,0.175069,2001:558:feed:443::105,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.2,132,Application Data,7,16,Normal
16,0.175194,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::105,TCP,86,53229  >  443 [ACK] Seq=639 Ack=47 Win=2047 Len=0 TSval=3817281605 TSecr=3001049856,6,445,Normal
17,0.184166,2001:558:feed:443::105,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.2,131,Application Data,7,16,Normal
18,0.184286,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::105,TCP,86,53229  >  443 [ACK] Seq=639 Ack=92 Win=2047 Len=0 TSval=3817281615 TSecr=3001049858,6,445,Normal
19,0.187173,2001:558:feed:443::105,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.2,237,Application Data,7,16,Normal
20,0.187174,2001:558:feed:443::105,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,[TCP Window Update] 443  >  53229 [ACK] Seq=243 Ack=639 Win=30702 Len=0 TSval=3001049858 TSecr=3817281605,6,16,Normal
21,0.187298,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::105,TCP,86,53229  >  443 [ACK] Seq=639 Ack=243 Win=2045 Len=0 TSval=3817281618 TSecr=3001049858,6,445,Normal
22,0.187851,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::105,TLSv1.2,128,Application Data,7,445,Normal
